"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 500","23,240.90","23,263.45","23,213.85","23,144.20","23,235.65","-","91.45","0.40","57,06,52,196","18,221.79","24,144.20","20,385.65","2.58","0.84"
"HSCL","676.95","677.00","652.60","671.05","672.50","-","1.45","0.22","92,58,702","619.43","718.00","418.50","14.77","53.33"
"RELIANCE","1,316.70","1,344.90","1,314.10","1,309.50","1,337.50","-","28.00","2.14","43,94,905","586.44","1,611.80","1,253.20","-1.23","-8.76"
"NIACL","205.50","215.59","205.50","202.31","212.61","-","10.30","5.09","2,60,26,000","550.89","215.59","116.97","29.19","14.79"
"HDFCBANK","789.90","789.90","783.10","779.80","785.00","-","5.20","0.67","63,85,243","502.21","1,020.50","726.65","2.35","-20.10"
"HFCL","218.99","220.09","213.70","209.61","216.52","-","6.91","3.30","1,96,36,082","427.01","220.09","59.82","46.20","165.16"
"KIRLOSENG","2,200.00","2,389.80","2,200.00","1,991.50","2,389.80","-","398.30","20.00","17,22,557","400.21","2,389.80","825.60","43.02","182.38"
"GRSE","2,861.00","2,934.70","2,861.00","2,798.30","2,876.40","-","78.10","2.79","13,42,636","389.39","3,538.40","1,963.70","6.90","-12.40"
"INFY","1,055.00","1,071.90","1,055.00","1,051.40","1,066.00","-","14.60","1.39","29,12,276","310.02","1,728.00","1,030.00","-9.22","-34.30"
"AMBER","8,050.00","8,117.00","7,850.00","7,889.00","7,903.00","-","14.00","0.18","3,58,148","287.19","8,974.00","5,400.50","7.41","21.25"
"BSE","4,035.00","4,036.40","3,982.10","4,020.20","4,000.00","-","-20.20","-0.50","6,67,986","267.42","4,446.80","2,021.50","-4.66","48.74"
"AEGISLOG","1,010.00","1,093.55","1,009.15","1,007.80","1,075.00","-","67.20","6.67","22,35,919","238.69","1,093.55","576.10","48.34","36.47"
"IFCI","86.70","87.20","83.39","85.73","84.17","-","-1.56","-1.82","2,77,44,753","236.22","95.80","46.23","38.48","40.28"
"SCI","314.00","327.90","314.00","312.15","323.60","-","11.45","3.67","71,42,293","230.91","368.75","195.55","2.34","47.40"
"POLICYBZR","1,657.90","1,699.00","1,645.20","1,636.70","1,684.10","-","47.40","2.90","13,48,306","226.72","1,978.00","1,364.00","-6.00","-11.39"
"VOLTAS","1,384.00","1,411.90","1,360.00","1,343.40","1,367.70","-","24.30","1.81","14,55,721","202.68","1,582.50","1,186.80","7.89","5.74"
"DIXON","12,599.00","12,650.00","12,311.00","12,517.00","12,343.00","-","-174.00","-1.39","1,58,830","198.11","18,471.00","9,600.00","5.33","-12.10"
"NETWEB","5,100.00","5,169.90","5,072.30","5,060.90","5,105.00","-","44.10","0.87","3,55,547","182.08","5,244.00","1,700.10","32.47","189.21"
"COFORGE","1,475.00","1,502.80","1,474.90","1,463.30","1,501.60","-","38.30","2.62","11,77,814","175.62","1,994.00","1,008.10","8.29","-18.01"
"ETERNAL","264.50","267.50","263.40","264.30","265.20","-","0.90","0.34","60,22,427","159.69","368.45","212.60","9.71","4.78"
"CLEAN","787.15","854.40","787.15","782.15","840.00","-","57.85","7.40","18,46,322","155.25","1,521.90","652.00","11.25","-40.16"
"TCS","2,132.20","2,150.00","2,131.00","2,125.00","2,137.60","-","12.60","0.59","7,10,876","152.01","3,538.00","2,059.90","-7.69","-37.74"
"RVNL","249.00","250.90","247.68","243.99","248.03","-","4.04","1.66","58,35,353","145.39","413.45","221.55","-8.49","-36.48"
