"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY LARGEMIDCAP 250","16,675.95","16,694.35","16,647.85","16,607.65","16,665.75","-","58.10","0.35","38,82,98,762","12,935.59","17,077.75","14,445.65","2.25","3.19"
"RELIANCE","1,316.70","1,344.90","1,314.10","1,309.50","1,339.00","-","29.50","2.25","49,70,112","663.50","1,611.80","1,253.20","-1.14","-8.68"
"NIACL","205.50","215.59","205.50","202.31","210.28","-","7.97","3.94","2,97,78,995","630.42","215.59","116.97","27.86","13.60"
"HDFCBANK","789.90","789.90","783.10","779.80","784.35","-","4.55","0.58","68,64,241","539.79","1,020.50","726.65","2.30","-20.15"
"INFY","1,055.00","1,071.90","1,055.00","1,051.40","1,063.90","-","12.50","1.19","30,82,622","328.17","1,728.00","1,030.00","-9.39","-34.43"
"BSE","4,035.00","4,036.40","3,982.10","4,020.20","3,996.80","-","-23.40","-0.58","7,42,977","297.40","4,446.80","2,021.50","-4.72","48.64"
"POLICYBZR","1,657.90","1,699.00","1,645.20","1,636.70","1,684.40","-","47.70","2.91","14,68,941","247.05","1,978.00","1,364.00","-6.06","-11.44"
"DIXON","12,599.00","12,650.00","12,281.00","12,517.00","12,288.00","-","-229.00","-1.83","1,90,335","236.92","18,471.00","9,600.00","4.65","-12.67"
"VOLTAS","1,384.00","1,411.90","1,360.00","1,343.40","1,361.70","-","18.30","1.36","16,34,082","227.08","1,582.50","1,186.80","7.25","5.12"
"COFORGE","1,475.00","1,505.00","1,474.90","1,463.30","1,492.80","-","29.50","2.02","14,82,863","221.33","1,994.00","1,008.10","7.63","-18.50"
"TMPV","362.00","370.35","360.00","359.50","369.50","-","10.00","2.78","57,91,136","211.54","739.70","294.30","1.64","-45.39"
"ETERNAL","264.50","267.50","263.40","264.30","265.60","-","1.30","0.49","67,32,977","178.55","368.45","212.60","9.75","4.82"
"TCS","2,132.20","2,150.00","2,131.00","2,125.00","2,133.20","-","8.20","0.39","8,21,159","175.57","3,538.00","2,059.90","-7.90","-37.88"
"ICICIBANK","1,353.00","1,358.40","1,348.40","1,346.50","1,356.70","-","10.20","0.76","11,95,064","161.94","1,500.00","1,187.60","7.32","-4.93"
"RVNL","249.00","250.90","247.68","243.99","248.08","-","4.09","1.68","62,01,028","154.47","413.45","221.55","-8.55","-36.53"
"TRENT","3,209.80","3,241.80","3,193.00","3,205.80","3,210.00","-","4.20","0.13","4,63,457","149.20","4,174.00","2,183.67","12.02","-18.39"
"MCX","2,822.00","2,864.90","2,822.00","2,803.80","2,844.90","-","41.10","1.47","5,10,134","145.44","3,480.00","1,460.80","-12.96","76.02"
"VAML","458.20","464.70","456.20","457.77","460.60","-","2.83","0.62","30,55,538","141.30","537.00","440.00","-","-"
"GROWW","200.59","200.95","196.40","199.87","196.48","-","-3.39","-1.70","70,52,840","139.69","227.20","112.00","4.63","-"
"BHARTIARTL","1,915.80","1,919.00","1,901.00","1,910.80","1,916.10","-","5.30","0.28","7,21,846","137.87","2,174.50","1,740.50","2.44","-1.02"
"CIPLA","1,372.00","1,402.00","1,370.60","1,351.80","1,401.80","-","50.00","3.70","9,80,082","135.96","1,673.00","1,165.70","0.19","-6.53"
"IDEA","14.98","15.03","14.86","14.92","14.95","-","0.03","0.20","8,87,73,134","132.72","15.34","6.12","8.89","127.90"
"SBIN","1,038.00","1,041.60","1,033.60","1,035.10","1,035.80","-","0.70","0.07","12,40,020","128.55","1,234.70","781.70","9.24","30.24"
"BAJAJ-AUTO","10,116.00","10,265.00","10,088.00","10,066.00","10,262.00","-","196.00","1.95","1,18,414","120.40","10,834.00","7,858.50","-2.71","22.61"
"SUZLON","59.47","59.58","59.05","59.20","59.26","-","0.06","0.10","1,94,06,327","115.06","68.30","38.19","10.27","-6.26"
"ADANIPOWER","231.50","232.78","229.31","231.76","230.00","-","-1.76","-0.76","47,83,708","110.61","254.20","105.42","4.87","116.88"
"VEDL","300.80","306.55","300.80","300.80","305.90","-","5.10","1.70","36,31,551","110.61","795.00","268.70","-7.27","-31.57"
"PAGEIND","39,995.00","40,440.00","39,555.00","39,975.00","39,830.00","-","-145.00","-0.36","26,158","103.80","50,590.00","29,805.00","0.90","-11.39"
"BHEL","417.30","420.70","411.35","414.35","412.30","-","-2.05","-0.49","24,04,893","100.01","424.90","205.12","0.91","64.60"
"M&M","3,085.00","3,102.00","3,074.00","3,074.80","3,088.70","-","13.90","0.45","3,23,515","99.77","3,839.90","2,896.00","0.25","-3.00"
"BAJFINANCE","966.05","972.95","962.00","961.80","968.00","-","6.20","0.64","10,27,456","99.57","1,102.50","787.90","5.64","6.99"
"ADANIENT","3,040.00","3,041.90","3,001.00","3,038.40","3,015.00","-","-23.40","-0.77","3,26,781","98.61","3,059.80","1,753.00","10.92","26.79"
"CUMMINSIND","5,795.50","5,795.50","5,637.00","5,865.00","5,745.50","-","-119.50","-2.04","1,64,028","94.12","6,100.00","3,212.20","7.26","75.50"
"LT","4,228.00","4,235.40","4,205.00","4,209.40","4,216.60","-","7.20","0.17","2,21,387","93.33","4,440.00","3,288.10","7.38","15.14"
"ITCHOTELS","173.00","177.85","172.21","170.92","176.14","-","5.22","3.05","51,86,937","91.23","261.62","137.30","14.17","-17.06"
"ADANIPORTS","1,835.30","1,836.80","1,815.60","1,835.30","1,819.00","-","-16.30","-0.89","4,87,322","88.90","1,857.80","1,290.50","1.80","34.82"
"TATACOMM","2,003.00","2,063.50","1,981.30","1,988.80","2,052.10","-","63.30","3.18","4,35,277","88.52","2,063.50","1,322.50","4.49","24.03"
"ASHOKLEY","156.94","158.20","155.55","156.66","157.44","-","0.78","0.50","56,19,378","87.94","215.42","114.96","-0.46","33.93"
"EICHERMOT","7,650.00","7,719.00","7,620.00","7,611.00","7,718.00","-","107.00","1.41","1,08,613","83.38","8,230.00","5,305.00","10.54","39.68"
"YESBANK","25.50","25.56","25.05","25.41","25.28","-","-0.13","-0.51","3,27,81,749","82.97","25.78","17.20","15.64","28.18"
"BEL","428.10","430.90","426.15","426.90","428.20","-","1.30","0.30","19,07,645","81.65","473.45","361.20","2.81","4.90"
"GVT&D","5,533.50","5,534.00","5,410.00","5,533.50","5,428.00","-","-105.50","-1.91","1,49,425","81.38","5,632.00","2,241.80","11.91","130.32"
