"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"RELIANCE","1,316.70","1,344.90","1,314.10","1,309.50","1,338.90","-","29.40","2.25","49,57,828","661.86","1,611.80","1,253.20","-3.32","-10.69"
"HDFCBANK","789.90","789.90","783.10","779.80","783.60","-","3.80","0.49","68,30,353","537.13","1,020.50","726.65","1.70","-60.31"
"INFY","1,055.00","1,071.90","1,055.00","1,051.40","1,064.00","-","12.60","1.20","30,77,072","327.58","1,728.00","1,030.00","-10.48","-35.21"
"AMBER","8,050.00","8,117.00","7,850.00","7,889.00","7,937.00","-","48.00","0.61","3,81,735","305.88","8,974.00","5,400.50","7.20","21.02"
"BSE","4,035.00","4,036.40","3,982.10","4,020.20","3,996.90","-","-23.30","-0.58","7,40,182","296.28","4,446.80","2,021.50","-4.14","49.56"
"POLICYBZR","1,657.90","1,699.00","1,645.20","1,636.70","1,683.90","-","47.20","2.88","14,66,888","246.71","1,978.00","1,364.00","-8.69","-13.92"
"DIXON","12,599.00","12,650.00","12,288.00","12,517.00","12,289.00","-","-228.00","-1.82","1,86,229","231.88","18,471.00","9,600.00","6.78","-10.89"
"VOLTAS","1,384.00","1,411.90","1,360.00","1,343.40","1,363.60","-","20.20","1.50","16,23,823","225.68","1,582.50","1,186.80","5.94","3.83"
"COFORGE","1,475.00","1,505.00","1,474.90","1,463.30","1,494.50","-","31.20","2.13","14,62,145","218.24","1,994.00","1,008.10","5.49","-20.13"
"TMPV","362.00","370.35","360.00","359.50","369.25","-","9.75","2.71","57,14,177","208.70","739.70","294.30","-1.06","-"
"ETERNAL","264.50","267.50","263.40","264.30","265.15","-","0.85","0.32","66,61,526","176.64","368.45","212.60","9.24","4.33"
"TCS","2,132.20","2,150.00","2,131.00","2,125.00","2,133.00","-","8.00","0.38","8,16,107","174.49","3,538.00","2,059.90","-8.30","-38.15"
"ICICIBANK","1,353.00","1,358.40","1,348.40","1,346.50","1,356.30","-","9.80","0.73","11,88,944","161.11","1,500.00","1,187.60","6.50","-5.65"
"RVNL","249.00","250.90","247.68","243.99","247.99","-","4.00","1.64","61,84,117","154.05","433.00","221.55","-10.00","-37.53"
"TRENT","3,209.80","3,241.80","3,193.00","3,205.80","3,209.10","-","3.30","0.10","4,62,685","148.95","4,174.00","2,183.67","-25.39","-45.64"
"MCX","2,822.00","2,864.90","2,822.00","2,803.80","2,846.60","-","42.80","1.53","5,09,227","145.18","3,480.00","1,460.80","-14.25","-65.32"
"CDSL","1,377.00","1,396.00","1,370.00","1,370.30","1,386.00","-","15.70","1.15","10,35,508","143.87","1,814.00","1,116.30","13.80","-18.72"
"BHARTIARTL","1,915.80","1,919.00","1,901.00","1,910.80","1,914.80","-","4.00","0.21","7,18,000","137.13","2,174.50","1,740.50","2.11","-1.34"
"CIPLA","1,372.00","1,401.90","1,370.60","1,351.80","1,401.00","-","49.20","3.64","9,67,725","134.23","1,673.00","1,165.70","-3.39","-9.86"
"IDEA","14.98","15.03","14.86","14.92","14.95","-","0.03","0.20","8,83,44,274","132.07","15.34","6.12","8.67","127.44"
"SBIN","1,038.00","1,041.60","1,033.60","1,035.10","1,035.70","-","0.60","0.06","12,36,653","128.20","1,234.70","781.70","9.05","30.01"
"BAJAJ-AUTO","10,116.00","10,265.00","10,088.00","10,066.00","10,265.00","-","199.00","1.98","1,17,086","119.04","10,834.00","7,858.50","-4.58","20.25"
"SUZLON","59.47","59.58","59.05","59.20","59.25","-","0.05","0.08","1,93,03,986","114.45","68.30","38.19","10.14","-6.37"
"ADANIPOWER","231.50","232.78","229.31","231.76","230.05","-","-1.71","-0.74","47,75,405","110.42","254.20","105.42","5.67","-56.29"
"VEDL","300.80","306.55","300.80","300.80","305.75","-","4.95","1.65","36,17,464","110.17","795.00","268.70","-8.83","-32.72"
"BHEL","417.30","420.70","411.35","414.35","412.20","-","-2.15","-0.52","23,97,381","99.70","424.90","205.12","1.42","65.44"
"M&M","3,085.00","3,102.00","3,074.00","3,074.80","3,088.40","-","13.60","0.44","3,22,108","99.33","3,839.90","2,896.00","-0.21","-3.44"
"BAJFINANCE","966.05","972.95","962.00","961.80","968.00","-","6.20","0.64","10,23,233","99.16","1,102.50","787.90","4.94","6.28"
"ADANIENT","3,040.00","3,041.90","3,001.00","3,038.40","3,014.10","-","-24.30","-0.80","3,25,837","98.32","3,059.80","1,753.00","11.82","24.10"
"CUMMINSIND","5,795.50","5,795.50","5,637.00","5,865.00","5,746.50","-","-118.50","-2.02","1,63,785","93.98","6,100.00","3,212.20","9.56","79.28"
"PGEL","564.00","579.00","560.75","560.50","562.15","-","1.65","0.29","16,30,912","93.25","836.45","436.55","20.02","-24.20"
"LT","4,228.00","4,235.40","4,205.00","4,209.40","4,215.90","-","6.50","0.15","2,19,189","92.40","4,440.00","3,288.10","7.20","14.95"
"INOXWIND","91.00","94.08","90.79","90.72","93.53","-","2.81","3.10","98,76,199","91.62","183.91","75.05","-3.81","-46.84"
"ADANIPORTS","1,835.30","1,836.80","1,815.60","1,835.30","1,818.50","-","-16.80","-0.92","4,86,538","88.76","1,857.80","1,290.50","2.71","36.02"
"ASHOKLEY","156.94","158.20","155.55","156.66","157.38","-","0.72","0.46","56,04,413","87.70","215.42","114.96","-0.98","-33.38"
"YESBANK","25.50","25.56","25.05","25.41","25.27","-","-0.14","-0.55","3,27,43,081","82.87","25.78","17.20","16.19","28.79"
"BEL","428.10","430.90","426.15","426.90","428.25","-","1.35","0.32","19,01,166","81.37","473.45","361.20","2.48","4.57"
"EICHERMOT","7,650.00","7,716.00","7,620.00","7,611.00","7,715.00","-","104.00","1.37","1,05,688","81.12","8,230.00","5,219.50","9.02","37.76"
"GVT&D","5,533.50","5,534.00","5,410.00","5,533.50","5,430.00","-","-103.50","-1.87","1,48,653","80.96","5,632.00","2,204.00","14.10","134.84"
"ABCAPITAL","378.00","384.40","375.05","375.90","383.35","-","7.45","1.98","20,96,888","79.74","384.40","236.00","5.21","44.42"
"AUROPHARMA","1,498.20","1,511.00","1,491.20","1,497.80","1,492.70","-","-5.10","-0.34","5,31,089","79.63","1,550.00","1,016.10","2.34","36.51"
"WAAREEENER","3,145.00","3,157.80","3,101.50","3,125.40","3,110.10","-","-15.30","-0.49","2,48,852","77.74","3,865.00","2,403.00","4.27","4.56"
"BDL","1,384.70","1,406.00","1,376.40","1,373.40","1,380.80","-","7.40","0.54","5,37,806","74.84","2,013.50","1,086.00","4.64","-27.79"
"LICI","446.10","446.10","438.50","440.15","441.35","-","1.20","0.27","16,80,705","74.10","490.00","360.75","-45.86","-53.00"
"NBCC","111.96","113.23","110.90","111.45","111.08","-","-0.37","-0.33","62,35,163","69.63","125.85","77.18","17.54","-4.81"
"KAYNES","3,286.00","3,329.80","3,255.20","3,253.10","3,285.00","-","31.90","0.98","2,10,377","69.44","7,705.00","2,995.00","-2.06","-44.53"
"PERSISTENT","4,838.00","4,919.00","4,838.00","4,829.00","4,895.00","-","66.00","1.37","1,35,409","66.25","6,599.00","4,449.10","-2.84","-20.92"
"OFSS","9,700.00","9,840.00","9,668.00","9,638.50","9,770.00","-","131.50","1.36","67,756","66.18","10,584.50","6,234.50","1.19","2.59"
"MAZDOCK","2,530.00","2,569.00","2,520.20","2,518.70","2,522.20","-","3.50","0.14","2,59,579","65.94","3,369.00","2,057.40","2.01","-22.65"
"SWIGGY","255.90","258.20","255.20","254.05","257.10","-","3.05","1.20","25,18,392","64.63","474.00","236.80","1.64","-34.78"
"VBL","528.00","530.00","517.70","529.50","520.40","-","-9.10","-1.72","12,33,298","64.30","555.80","381.00","-1.84","15.21"
"POWERINDIA","37,095.00","37,100.00","36,515.00","36,880.00","36,625.00","-","-255.00","-0.69","17,240","63.47","38,785.00","16,111.00","3.73","97.39"
"LAURUSLABS","1,415.00","1,429.90","1,410.50","1,412.90","1,416.50","-","3.60","0.25","4,45,146","63.19","1,457.00","641.05","5.17","117.04"
"HCLTECH","1,136.00","1,148.70","1,136.00","1,131.70","1,141.70","-","10.00","0.88","5,53,021","63.16","1,780.10","1,089.50","-2.77","-34.96"
"PAGEIND","39,995.00","40,440.00","39,560.00","39,975.00","39,570.00","-","-405.00","-1.01","15,618","62.05","50,590.00","29,805.00","1.32","-11.02"
"SONACOMS","620.00","626.35","614.50","613.80","621.40","-","7.60","1.24","9,93,424","61.78","626.35","402.30","3.38","26.05"
"SAIL","180.10","180.79","178.35","180.05","179.46","-","-0.59","-0.33","34,00,903","61.06","209.70","118.10","-10.52","41.24"
"JIOFIN","245.00","246.40","244.61","244.45","244.90","-","0.45","0.18","24,72,316","60.69","338.60","223.30","2.63","-16.92"
"CGPOWER","968.00","968.90","955.00","963.70","956.95","-","-6.75","-0.70","6,20,001","59.65","969.90","525.50","11.32","40.02"
"HAL","4,424.10","4,452.70","4,393.20","4,408.10","4,397.40","-","-10.70","-0.24","1,34,426","59.40","5,132.60","3,479.10","0.91","-11.36"
"DELHIVERY","466.50","472.50","466.00","461.10","470.35","-","9.25","2.01","12,09,969","56.78","490.00","342.85","3.02","28.85"
"BHARATFORG","2,060.00","2,062.00","2,042.70","2,041.40","2,045.90","-","4.50","0.22","2,74,341","56.25","2,062.00","1,100.50","7.57","59.70"
"TATASTEEL","199.30","200.27","198.90","198.96","200.08","-","1.12","0.56","27,76,421","55.39","224.40","149.80","-4.89","30.92"
"INDHOTEL","728.00","740.00","726.75","724.75","728.05","-","3.30","0.46","7,47,439","54.61","811.95","565.00","11.46","-5.34"
"RBLBANK","380.35","381.70","377.80","378.85","378.60","-","-0.25","-0.07","14,21,203","53.93","381.70","214.04","13.31","66.14"
"HINDALCO","1,014.00","1,018.10","1,007.20","1,010.00","1,014.10","-","4.10","0.41","5,31,254","53.75","1,176.00","635.00","-8.94","55.59"
"POWERGRID","289.00","292.85","289.00","292.25","291.25","-","-1.00","-0.34","18,38,903","53.52","324.95","250.00","-0.70","-0.29"
"INDIGO","5,015.00","5,021.50","4,972.60","5,021.50","4,977.40","-","-44.10","-0.88","1,07,267","53.50","6,232.50","3,895.20","13.13","-6.84"
"POLYCAB","10,090.00","10,126.00","9,992.00","10,083.00","10,009.50","-","-73.50","-0.73","51,307","51.65","10,126.00","5,760.00","8.85","68.04"
"JUBLFOOD","421.00","427.10","420.30","419.00","426.40","-","7.40","1.77","12,15,217","51.60","718.95","408.80","-4.04","-39.78"
"ONGC","244.95","247.70","243.80","246.25","247.50","-","1.25","0.51","20,91,250","51.56","307.50","228.61","-15.09","-2.24"
"WIPRO","180.84","182.40","180.84","180.80","181.35","-","0.55","0.30","28,35,053","51.50","273.10","174.89","-10.98","-32.17"
"TECHM","1,414.00","1,437.90","1,414.00","1,409.60","1,432.80","-","23.20","1.65","3,46,488","49.54","1,854.00","1,304.10","-0.89","-16.89"
"ITC","292.80","293.95","292.10","292.50","292.25","-","-0.25","-0.09","16,59,255","48.57","427.20","275.05","-3.05","-30.12"
"BLUESTARCO","1,675.10","1,717.70","1,642.00","1,668.30","1,644.40","-","-23.90","-1.43","2,84,891","47.80","2,040.00","1,450.00","0.67","3.62"
"AXISBANK","1,361.00","1,362.40","1,355.20","1,357.90","1,360.20","-","2.30","0.17","3,47,679","47.29","1,418.30","1,042.50","5.64","11.24"
"HINDPETRO","399.10","399.25","392.65","392.10","393.60","-","1.50","0.38","11,18,260","44.22","508.45","316.20","0.63","-0.04"
"RECLTD","355.35","363.05","355.35","355.35","362.20","-","6.85","1.93","12,06,166","43.50","419.00","304.05","5.46","-9.91"
"NYKAA","302.00","307.00","301.30","302.30","301.80","-","-0.50","-0.17","14,18,866","43.19","307.00","191.16","9.04","53.40"
"ADANIGREEN","1,509.00","1,509.00","1,493.00","1,502.40","1,500.20","-","-2.20","-0.15","2,86,630","42.99","1,544.80","765.00","10.28","58.53"
"FORCEMOT","18,650.00","18,971.00","18,505.00","18,637.00","18,566.00","-","-71.00","-0.38","22,980","42.95","26,450.00","12,060.00","-6.24","30.68"
"NATIONALUM","379.00","379.70","375.05","376.00","376.30","-","0.30","0.08","11,26,122","42.44","445.15","179.93","-8.12","104.36"
"NHPC","75.84","77.18","75.65","75.82","77.04","-","1.22","1.61","55,32,679","42.29","90.64","71.62","-3.24","-7.88"
"TATAPOWER","402.35","404.00","401.05","402.35","402.75","-","0.40","0.10","10,50,270","42.27","464.90","342.50","-1.60","3.14"
"COCHINSHIP","1,465.50","1,485.60","1,465.10","1,458.00","1,467.30","-","9.30","0.64","2,79,535","41.20","2,278.00","1,187.00","-4.84","-33.09"
"MARUTI","13,450.00","13,473.00","13,380.00","13,395.00","13,421.00","-","26.00","0.19","30,444","40.85","17,370.00","12,176.00","3.14","4.72"
"BPCL","311.75","311.80","307.80","306.60","309.30","-","2.70","0.88","13,04,046","40.36","391.65","266.60","3.72","-2.20"
"INDUSINDBK","947.00","947.00","938.90","947.45","941.25","-","-6.20","-0.65","4,05,000","38.12","968.85","710.60","4.10","12.76"
"SOLARINDS","18,140.00","18,178.00","17,905.00","18,052.00","17,930.00","-","-122.00","-0.68","21,041","37.96","18,874.00","11,646.00","-0.44","6.21"
